KodKlienta;I;II;III;IV;V;VI;VII;VIII;IX;X;XI;XII
0433104WES;10;10;5;12;13;18;22;13;11;9;8;8
0433202WES;4;4;3;5;5;8;10;7;4;6;3;3
0433303PRA;6;5;3;10;10;9;13;13;7;8;6;6
0433403BIE;3;3;4;6;9;13;15;9;10;9;3;3
0433502URU;3;4;2;4;5;8;8;8;4;4;2;3
0433605OCH;10;8;10;10;12;15;22;20;12;15;12;12
0433704BIA;7;6;5;8;10;12;20;17;12;9;5;4
0433803BEM;5;4;7;6;9;10;14;11;10;6;4;5
0433903BIE;6;4;4;7;8;11;16;11;9;9;5;4
0434002ZOL;2;2;4;6;4;8;8;8;6;5;2;3
0434101WOL;1;1;1;2;3;3;5;3;2;2;1;1
0434204WAW;7;10;9;14;8;15;18;16;8;8;5;7
0434304OCH;6;7;5;9;12;14;20;17;9;9;8;5
0434402SRO;3;3;3;5;5;6;9;6;4;6;4;2
0434506WES;9;8;7;19;16;22;24;21;14;15;13;11
0434603URU;6;6;3;9;9;11;12;9;6;10;6;6
0434705MOK;5;9;9;15;13;21;23;17;16;12;11;9
0434803BEM;7;7;4;7;8;12;15;10;6;10;6;4
0434903SRO;5;4;4;7;8;10;13;13;7;7;5;3
0435003URU;3;4;7;8;6;10;15;13;9;9;5;3
0435104WAW;8;5;4;11;10;15;20;18;13;14;7;7
0435203BIA;5;4;6;7;6;12;15;9;7;6;7;6
0435303MOK;3;5;7;9;6;12;13;10;10;9;3;4
0435405SRO;5;10;8;16;14;19;26;15;15;12;6;10
0435503WOL;5;7;5;8;9;12;16;12;8;6;7;6
0435604WES;9;7;8;9;13;17;21;17;14;14;6;7
0435703PRA;3;6;3;9;8;11;12;11;6;9;5;4
0435803TAR;3;5;4;10;10;10;13;9;10;7;6;5
0435901PRA;2;2;1;2;2;4;4;4;3;3;2;2
0436002SRO;4;3;3;6;4;6;8;7;5;5;3;4
0436104WIL;10;10;5;8;12;13;20;13;11;14;4;8
0436201REM;2;1;2;2;2;4;5;4;3;2;1;2
0436304BIE;6;9;5;13;8;17;17;15;10;11;4;10
0436404WLO;10;5;10;8;10;15;16;16;10;11;8;6
0436503BIA;4;5;6;6;8;10;15;12;9;7;7;7
0436605REM;5;7;6;13;16;20;22;22;15;14;9;12
0436703PRA;5;3;7;10;8;9;14;13;8;10;7;6
0436804BIE;7;9;5;11;11;18;18;15;9;11;6;8
0436905ZOL;9;7;11;10;12;16;27;20;16;16;8;6
0437003WOL;7;7;3;6;8;12;13;9;8;8;7;5
0437101WIL;2;1;1;2;2;4;5;3;2;2;1;1
0437204WOL;10;8;5;12;10;14;20;15;10;11;9;10
0437305WOL;9;5;6;10;16;18;24;18;16;12;11;9
0437404WIL;6;6;9;12;11;18;16;13;12;10;8;7
0437501BIA;2;2;2;2;3;4;4;4;3;3;1;2
0437604REM;10;8;6;12;12;14;17;18;11;10;10;9
0437707TAR;8;12;9;17;19;25;35;24;17;19;15;14
0437803URY;7;3;4;7;8;13;12;11;6;6;4;7
0437903BIA;3;7;6;7;9;13;14;12;7;10;7;5
0438001WIL;2;1;2;2;3;3;5;3;2;3;1;1
0438103URU;6;6;6;10;8;10;16;9;8;10;5;4
0438204WIL;5;4;8;10;8;16;20;13;8;10;10;8
0438303BIA;7;7;5;8;8;13;16;13;10;7;5;5
0438404BEM;4;10;5;11;10;16;19;12;10;10;9;9
0438504MOK;9;5;7;11;8;12;18;18;13;14;9;8
0438603BIE;3;5;3;9;7;11;15;9;10;7;3;3
0438704WOL;5;10;4;11;9;12;18;12;12;11;5;4
0438803URU;4;6;7;10;9;9;14;13;9;7;6;3
0438904BEM;6;5;7;9;10;18;16;17;8;9;7;7
0439002OCH;2;4;2;4;4;6;8;7;6;5;3;3
0439102BIA;3;3;2;4;4;6;8;8;5;4;2;3
0439204WIL;10;8;6;10;11;16;16;13;14;10;7;6
0439304WES;6;10;5;11;8;12;20;14;8;11;6;5
0439403BIA;5;7;6;9;6;11;14;12;10;9;4;4
0439503OCH;3;4;5;6;10;13;16;13;9;9;5;4
0439603ZOL;4;4;7;7;6;10;16;10;10;8;7;4
0439703WOL;6;7;6;8;8;12;13;13;8;10;5;6
0439803URU;5;3;6;10;6;12;15;13;9;6;4;3
0439904WLO;8;5;8;13;13;12;17;14;8;11;4;5
0440006MOK;7;7;6;12;14;24;27;22;12;16;7;14
0440102WOL;4;2;2;6;6;8;10;6;4;5;4;2
0440207TAR;7;11;8;15;15;26;35;24;20;16;11;10
0440301ZOL;2;1;1;2;3;3;4;3;3;3;2;2
0440403SRO;4;3;4;8;9;9;16;11;6;10;4;4
0440501WIL;2;2;1;2;3;4;4;4;2;3;2;2
0440604URU;4;8;8;10;11;15;18;14;11;9;4;10
0440702WAW;2;2;2;4;5;8;8;7;4;4;3;3
0440803BIE;3;7;6;10;9;12;16;9;6;10;3;7
0440903WIL;7;6;3;7;8;12;12;9;8;8;4;4
0441004WOL;6;4;6;10;10;16;20;16;9;14;7;5
0441103WAW;4;6;6;8;8;13;15;10;10;7;4;6
0441201BEM;1;2;2;2;3;4;4;3;3;3;2;1
0441303WLO;5;4;3;9;10;13;13;9;10;6;5;5
0441401REM;2;1;2;2;2;3;4;3;3;3;2;1
0441506MOK;10;9;9;14;15;18;28;18;16;18;10;7
0441601BIA;2;1;1;3;3;3;5;4;3;2;2;1
0441707OCH;11;7;7;16;14;26;32;26;22;22;8;11
0441806MOK;6;11;6;20;20;18;32;23;19;15;8;7
0441904WLO;6;5;5;13;13;16;19;14;8;12;8;10
0442004URU;6;7;7;11;8;17;21;12;10;13;9;7
0442104URU;5;9;10;13;13;13;21;16;12;9;7;4
0442202BIE;2;3;2;5;4;6;8;8;6;4;3;3
0442303REM;4;6;7;8;7;12;14;13;8;8;6;4
0442404WIL;4;9;5;11;10;12;16;18;13;13;5;9
0442502BIE;3;3;2;4;4;8;8;6;6;5;4;3
0442602WES;2;4;2;4;6;8;10;8;4;4;3;3
0442703WLO;6;7;5;7;8;10;15;13;9;9;3;3
0442807BEM;7;11;9;19;21;29;33;22;20;17;11;13
0442903WES;3;7;6;6;7;11;14;10;9;10;5;4
0443002MOK;2;3;4;5;4;7;9;7;4;6;2;2
0443104WLO;8;8;10;12;14;17;22;16;10;14;5;4
0443202WIL;2;4;4;6;5;8;8;6;6;5;4;3
0443305BIA;6;5;7;12;13;18;27;18;11;14;5;12
0443404BIE;7;7;8;9;11;16;16;13;13;11;9;8
0443503SRO;4;3;4;8;7;12;12;12;10;8;7;5
0443603WOL;4;3;3;8;10;13;15;9;6;8;4;3
0443707URY;13;9;12;22;18;27;36;24;17;17;14;8
0443802REM;3;4;3;4;6;6;10;7;6;4;2;3
0443902OCH;3;2;4;5;4;7;10;7;5;6;3;3
0444005SRO;9;5;12;17;15;17;21;18;13;10;12;10
0444106OCH;6;9;9;18;13;19;30;22;18;16;11;10
0444204URY;4;8;5;14;8;15;20;14;12;13;9;8
0444303REM;4;4;4;7;9;10;14;11;10;6;3;6
0444403WIL;6;6;3;7;8;13;16;13;8;10;4;4
0444503WIL;6;6;7;9;6;12;12;11;10;10;7;5
0444604SRO;5;4;7;8;13;14;17;18;11;11;5;8
0444704WIL;9;8;5;12;10;13;17;16;11;9;6;9
0444803URU;3;5;4;10;10;10;14;10;10;8;4;7
0444907ZOL;8;11;14;22;21;28;28;29;14;18;14;12
0445004REM;9;9;6;8;13;18;18;18;12;8;10;5
0445104PRA;5;10;7;12;11;14;18;17;9;9;7;10
0445205REM;10;10;11;13;15;20;24;20;13;16;5;11
0445303TAR;6;7;3;9;8;9;16;13;9;10;3;6
0445402WOL;4;3;3;4;5;7;8;7;4;4;2;3
0445506WIL;6;12;8;20;15;23;26;18;19;18;11;14
0445603MOK;5;6;4;6;6;9;12;11;7;10;7;7
0445703BIA;7;4;4;6;9;10;14;12;7;9;6;4
0445807URU;15;8;12;14;14;22;33;26;18;14;15;8
0445904TAR;6;6;7;10;13;15;22;18;14;14;9;5
0446003PRA;7;5;4;6;7;10;15;9;9;6;4;6
0446105WLO;10;12;10;10;11;20;23;21;11;12;5;5
0446203URU;3;4;4;7;6;11;15;10;6;10;7;6
0446304REM;4;6;9;13;10;17;22;12;8;14;6;4
0446407BIA;12;7;11;15;19;28;34;22;18;22;7;7
0446504ZOL;4;7;6;8;14;15;21;13;9;10;7;9
0446603TAR;6;4;4;7;7;11;13;11;10;9;6;6
0446702MOK;4;2;2;6;6;8;9;6;4;6;4;4
0446803URY;7;3;7;9;8;9;12;11;9;10;7;7
0446905WLO;10;5;12;16;11;15;22;18;11;10;6;9
0447004WAW;8;6;10;11;13;16;20;18;12;14;4;7
0447103PRA;5;4;4;6;8;13;16;9;7;6;6;3
0447207WLO;12;9;14;21;20;25;29;28;17;18;10;11
0447304URY;6;5;8;14;11;13;18;14;9;13;5;5
0447404WOL;8;7;4;9;10;18;18;15;8;12;8;4
0447501OCH;2;2;1;3;3;3;5;3;2;3;1;2
0447602OCH;3;3;3;6;6;8;8;7;6;4;4;3
0447706WOL;13;13;10;20;17;22;27;21;14;16;12;6
0447803OCH;6;6;6;7;9;13;13;9;7;10;4;3
0447903SRO;4;5;4;10;7;10;16;9;10;7;6;5
0448002WAW;3;3;2;6;4;6;9;8;4;5;2;2
0448104WOL;5;10;7;8;12;13;22;13;14;9;5;9
0448204URY;10;8;6;14;10;13;20;12;8;11;10;6
0448304TAR;5;10;9;9;9;13;18;13;12;8;7;7
0448403PRA;4;6;7;7;10;9;16;12;10;10;5;4
0448503SRO;3;5;3;10;8;12;12;13;7;10;3;4
0448606ZOL;8;6;12;13;16;18;25;23;20;18;8;13
0448703TAR;4;3;7;10;7;10;15;9;8;7;3;6
0448805PRA;12;12;12;15;17;22;21;22;12;15;5;12
0448906WIL;9;12;9;18;12;26;31;20;15;20;12;11
0449006WLO;9;9;8;20;18;20;32;22;12;20;14;14
0449103BIE;3;6;3;6;6;11;15;12;9;8;7;4
0449202WAW;2;2;3;6;6;7;9;7;5;6;3;2
0449305WLO;12;8;12;13;15;19;22;17;15;11;7;10
0449406WIL;9;7;11;17;20;25;32;24;12;13;7;13
0449502OCH;2;2;4;4;6;8;8;8;4;6;2;2
0449604BIE;10;4;7;11;9;16;17;16;14;8;4;4
0449701WOL;1;2;2;2;2;3;5;4;3;2;1;2
0449804WLO;4;6;10;9;10;12;21;17;10;9;8;4
0449903MOK;4;7;7;9;8;11;16;13;6;7;4;6
0450003PRA;4;6;5;9;8;11;13;9;8;9;4;5
0450104PRA;4;4;6;12;14;17;18;13;11;8;8;4
0450203BIA;4;3;3;8;10;13;12;9;7;10;5;7
0450301BEM;2;1;1;2;2;4;5;4;2;3;1;2
0450403BEM;3;4;3;9;8;13;14;10;8;9;6;5
0450502TAR;3;4;3;4;4;7;10;6;5;6;4;2
0450604OCH;6;6;5;9;10;12;17;13;11;14;10;10
0450702BIA;2;2;3;5;5;8;8;6;4;6;4;2
0450803WLO;4;5;5;9;10;12;14;9;8;10;6;7
0450904URY;7;10;7;11;10;18;20;14;9;11;5;10
0451004REM;10;9;8;11;10;14;21;12;14;14;9;7
0451104BEM;9;8;10;13;12;12;19;16;12;10;6;9
0451202BEM;2;3;4;6;4;6;8;7;5;4;3;3
0451305WOL;5;9;5;12;17;22;26;15;17;10;9;10
0451401WLO;2;2;1;2;3;4;4;3;3;2;1;1
0451505REM;10;5;10;13;14;18;23;17;16;15;9;10
0451601BEM;2;2;2;3;2;3;5;3;2;3;2;2
0451703TAR;3;7;4;10;8;12;14;12;9;9;7;4
0451802SRO;2;2;3;4;4;6;8;7;6;5;3;4
0451901WOL;1;1;1;2;3;3;5;4;3;3;2;1
0452002REM;3;4;2;4;6;8;9;8;5;5;4;4
0452103OCH;4;7;6;6;7;9;13;13;8;6;7;3
0452203URU;4;3;7;7;8;12;14;12;9;6;4;4
0452306WAW;8;13;6;17;14;20;27;23;19;13;7;13
0452404WAW;6;10;4;14;8;14;22;16;14;12;4;10
0452503BIA;4;4;6;8;7;9;14;12;10;10;7;7
0452603ZOL;5;3;5;7;9;12;14;13;9;8;3;3
0452703URU;7;3;7;10;8;9;15;9;10;7;6;7
0452806URY;13;14;13;18;14;26;26;22;17;16;11;13
0452902TAR;3;2;4;6;5;7;10;7;4;5;2;4
0453003URU;4;6;3;8;10;13;12;12;9;6;5;5
0453106MOK;7;12;6;13;15;18;26;21;16;16;8;6
0453201WOL;2;2;2;3;2;4;5;4;2;3;1;2
0453301WES;1;2;2;3;3;3;5;4;2;3;1;2
0453403SRO;3;7;5;6;10;13;12;10;6;9;7;4
0453503SRO;3;4;4;6;10;11;12;11;9;10;6;6
0453604URU;8;7;9;11;8;16;16;17;14;11;6;10
0453701PRA;1;2;2;3;3;3;4;4;2;2;1;1
0453804BEM;9;7;8;11;14;16;17;15;12;8;4;7
0453901OCH;2;1;1;2;2;3;4;3;3;3;1;1
0454001WLO;2;2;1;2;2;4;5;3;2;2;2;1
0454102URY;3;2;2;6;6;7;9;7;5;4;2;3
0454203OCH;7;7;4;6;10;11;12;13;7;9;3;7
0454302URY;2;4;2;4;5;8;9;8;5;5;4;4
0454402WOL;3;3;2;6;5;7;9;7;4;4;3;2
0454506TAR;6;6;6;14;13;25;29;23;12;12;14;6
0454604WIL;9;6;9;10;14;12;19;13;10;14;4;9
0454704BEM;7;5;6;10;9;17;22;12;12;8;8;9
0454802WES;3;4;4;6;6;6;8;7;5;6;2;4
0454903WES;7;4;4;6;10;13;12;11;9;10;6;5
0455003SRO;3;5;6;9;7;13;13;10;8;8;7;3
0455106URU;6;7;7;15;15;23;26;22;17;20;10;7
0455203TAR;7;5;7;8;8;9;15;11;6;9;5;4
0455303OCH;7;4;5;7;6;9;13;12;8;6;5;5
0455406OCH;8;13;14;12;19;19;26;21;16;12;10;10
0455503BEM;3;6;3;6;10;13;12;12;10;7;7;6
0455602WAW;3;3;3;6;4;7;9;6;5;5;2;2
0455702PRA;3;4;3;4;5;7;10;7;6;6;2;3
0455806ZOL;11;6;9;16;14;21;29;25;19;12;11;9
0455904PRA;8;4;5;12;10;15;18;18;9;8;5;6
0456004WAW;4;4;7;14;14;17;22;12;13;11;9;5
0456102REM;3;3;2;6;4;8;10;7;4;6;4;2
0456202OCH;2;4;3;4;6;8;9;6;6;5;4;2
0456302OCH;3;4;4;5;5;6;8;8;4;5;4;3
0456402BIA;3;3;2;4;5;6;8;7;6;6;3;2
0456502BEM;4;4;2;4;4;6;10;8;6;4;3;2
0456604WLO;6;5;9;10;12;17;20;14;10;10;7;10
0456701OCH;2;2;1;2;3;4;4;3;2;3;2;1
0456802MOK;4;4;4;5;6;6;10;7;5;4;4;4
0456903URU;7;4;5;8;6;13;13;10;7;10;7;7
0457004WAW;9;9;9;8;9;18;22;18;9;9;10;7
0457104WES;9;8;5;12;10;16;22;13;8;9;6;4
0457204WIL;4;7;6;13;13;15;20;18;14;12;7;5
0457302WAW;2;4;4;5;6;6;8;8;4;6;3;4
0457404TAR;5;10;4;14;14;18;21;15;8;11;5;8
0457502WLO;4;2;2;5;5;8;10;6;4;6;3;2
0457603OCH;5;7;5;8;7;11;12;13;6;9;3;4
0457701BIA;1;2;2;3;3;3;4;3;3;3;1;2
0457804ZOL;5;8;10;14;9;16;20;14;12;12;8;7
0457901WIL;1;2;2;2;3;4;5;4;3;3;1;2
0458004TAR;8;7;5;11;14;17;20;15;10;12;7;8
0458101REM;1;1;1;2;3;3;4;3;3;3;1;2
0458203SRO;6;7;4;6;6;13;14;11;6;8;5;7
0458303WAW;6;7;5;7;6;13;15;12;6;10;7;5
0458404ZOL;9;8;10;12;9;15;16;16;12;11;8;7
0458505WAW;10;9;7;10;17;18;20;19;11;13;11;11
0458601URU;1;1;1;2;3;4;5;3;3;2;1;2
0458703WOL;5;4;5;6;10;13;15;11;9;7;5;7
0458803BIA;5;5;6;8;8;9;16;13;7;9;6;6
0458904TAR;9;4;10;12;14;13;20;17;13;13;10;6
0459004OCH;4;7;10;14;14;17;19;15;11;10;5;7
0459104URU;7;7;6;8;8;18;19;16;9;8;6;8
0459201WOL;2;1;2;3;2;3;4;3;3;3;1;2
0459303BEM;5;3;3;6;9;11;14;11;7;9;7;4
0459402TAR;3;2;2;6;6;7;8;8;6;5;3;3
0459504WLO;6;4;8;14;11;15;22;18;10;14;8;4
0459603OCH;4;4;7;7;9;13;12;9;9;8;5;5
0459701BIE;2;2;2;2;2;3;5;4;3;3;1;1
0459803MOK;5;6;5;10;8;11;14;13;7;8;6;6
0459906WAW;6;12;8;18;20;18;27;25;14;19;6;10
0460003WLO;7;6;7;6;9;10;13;11;8;8;7;5
0460101WOL;1;2;2;2;3;4;5;4;3;2;2;1
0460201MOK;2;1;2;2;3;3;5;3;2;2;2;2
0460304WIL;4;5;8;8;10;17;20;16;10;12;6;10
0460404MOK;7;8;6;10;12;18;21;18;13;12;10;4
0460503WOL;7;6;4;9;8;13;16;10;10;10;3;3
0460603WLO;6;4;5;10;8;10;14;10;7;9;6;5
0460702URU;2;2;2;6;5;7;8;8;6;6;4;2
0460803ZOL;5;4;5;9;8;9;14;9;7;8;6;5
0460905WIL;5;11;5;13;11;17;20;20;17;11;11;7
0461003WLO;7;5;5;9;10;11;14;12;9;8;4;6
0461101BIA;1;1;1;2;2;4;4;3;2;3;2;1
0461203PRA;7;6;3;10;10;10;14;13;9;7;6;6
0461307WES;11;12;13;19;18;29;34;22;14;19;11;15
0461402WAW;2;2;4;6;4;6;8;6;5;5;2;2
0461503BIE;6;7;5;9;8;11;13;11;10;6;7;3
0461602URU;2;3;2;6;4;6;10;7;4;6;3;4
0461705REM;5;11;11;12;11;15;22;17;11;16;9;5
0461804PRA;7;9;5;8;12;17;20;17;10;11;7;8
0461902ZOL;4;2;4;5;4;8;10;6;5;5;2;4
0462002TAR;3;4;4;6;5;8;8;6;4;5;3;4
0462102BIA;4;4;3;4;4;6;9;6;4;4;4;3
0462202WLO;3;4;2;5;4;8;8;8;6;5;4;4
0462302BIE;2;2;4;4;4;6;10;6;4;5;4;4
0462402URU;2;3;3;4;4;6;10;8;6;4;4;3
0462503WES;3;3;5;10;6;11;14;10;7;6;5;3
0462602BIE;4;3;4;6;6;8;9;8;5;4;2;2
0462703MOK;7;4;5;9;6;13;13;13;8;8;4;3
0462802PRA;3;4;3;6;6;8;8;8;6;4;4;3
0462906OCH;7;13;14;19;15;20;28;19;15;16;7;14
0463003BEM;7;7;3;8;9;11;12;11;9;6;6;5
0463104TAR;6;5;10;14;10;15;19;18;14;8;9;9
0463203PRA;6;7;5;9;8;13;16;11;10;6;3;4
0463304OCH;8;10;6;13;8;14;17;17;12;12;8;10
0463404BIA;9;10;8;8;12;14;17;16;10;12;5;4
0463504URU;7;5;9;10;12;13;20;13;10;13;10;5
0463605REM;8;12;5;14;12;20;24;22;12;14;9;12
0463703ZOL;6;3;7;10;8;13;15;11;7;8;4;7
0463804SRO;10;5;6;11;14;18;21;13;11;12;8;8
0463904URY;9;6;8;11;8;14;19;15;14;14;8;6
0464003URU;4;4;6;10;7;10;15;9;10;6;6;3
0464103PRA;7;4;5;7;8;13;14;13;6;8;6;4
0464204URU;8;6;9;8;10;15;18;17;8;9;8;5
0464302SRO;4;3;3;5;4;7;8;7;6;6;4;4
0464402MOK;4;2;3;4;5;7;10;7;5;6;2;4
0464502BIE;2;3;3;5;4;7;9;7;6;5;4;2
0464602WES;4;3;3;6;4;8;8;6;4;4;4;4
0464703URY;3;6;6;7;9;13;13;10;9;10;5;3
0464803SRO;6;6;7;8;7;11;14;12;9;6;6;4
0464903URY;6;3;5;10;10;10;13;13;6;10;5;5
0465003URY;6;7;4;7;9;10;13;9;7;9;5;6
0465102URY;4;3;2;6;6;7;8;6;5;4;2;3
0465203URU;4;6;3;6;8;13;12;13;7;7;7;4
0465301MOK;1;2;2;3;3;3;5;4;2;3;2;2
0465402ZOL;4;2;4;6;5;6;10;7;6;4;2;3
0465501TAR;2;1;1;3;3;4;5;4;2;2;1;1
0465603WOL;4;3;5;9;7;9;16;11;9;7;6;3
0465702WIL;2;4;2;6;6;6;9;6;6;4;2;4
0465803URU;5;3;4;10;10;11;13;10;6;9;3;3
0465902SRO;3;3;4;4;6;7;10;7;5;5;4;3
0466006WOL;12;13;8;15;17;22;29;26;19;17;8;8
0466104OCH;7;7;6;14;11;17;17;16;11;14;10;9
0466202WIL;2;2;3;4;5;6;9;7;4;6;2;3
0466304BIE;9;7;10;8;12;15;21;17;11;11;5;5
0466403SRO;4;3;6;8;10;12;14;13;10;6;3;6
0466503WAW;4;5;7;7;9;9;12;10;8;6;6;7
0466603ZOL;3;6;3;7;10;12;13;10;8;10;3;3
0466704WLO;8;9;4;8;11;16;22;18;12;10;7;9
0466802BIA;3;4;2;5;5;8;10;8;4;6;3;3
0466907OCH;13;14;11;15;22;26;34;28;14;21;14;8
0467003WAW;5;6;6;8;7;12;14;12;10;7;3;6
0467103WIL;7;5;5;6;9;9;15;12;6;9;7;4
0467204SRO;8;7;5;8;12;13;18;17;12;9;8;4
0467302WOL;3;4;4;6;5;7;8;7;4;6;2;3
0467403URU;7;4;7;10;9;11;13;10;6;6;4;7
0467502WLO;3;4;4;5;6;6;9;6;5;5;3;2
0467603URU;5;7;3;7;7;13;14;10;7;9;5;7
0467701MOK;2;2;1;2;2;4;5;4;3;3;1;1
0467804URY;9;10;7;12;8;15;21;17;10;11;6;9
0467902OCH;2;4;4;4;4;6;8;7;6;5;4;4
0468004WIL;10;7;8;14;8;15;17;13;13;9;8;8
0468103ZOL;5;5;6;9;8;10;14;12;10;10;5;6
0468205WES;12;7;7;10;11;17;25;21;14;17;7;7
0468304WOL;5;10;6;14;8;13;19;15;14;13;8;8
0468401ZOL;1;1;2;2;2;4;4;3;3;2;2;1
0468505URY;11;5;6;10;11;18;20;17;16;17;6;9
0468604BIA;6;4;5;11;9;13;18;17;14;9;4;4
0468704WLO;9;7;5;10;14;18;22;16;10;12;5;5
0468801WOL;1;1;1;2;2;4;5;3;3;2;1;1
0468904TAR;4;7;6;11;12;18;20;16;12;8;9;7
0469001WLO;2;1;2;3;3;3;4;3;3;2;1;1
0469107OCH;7;9;7;18;20;23;31;22;20;14;15;14
0469201OCH;1;1;1;2;2;3;5;3;3;2;2;1
0469303MOK;6;7;5;10;6;12;15;9;8;9;4;7
0469401URY;1;2;2;3;2;3;5;3;3;2;1;2
0469505WLO;6;8;12;16;15;22;22;17;14;11;5;9
0469604URU;8;9;8;9;11;13;16;17;12;8;6;6
0469703URU;7;5;3;6;9;13;14;9;6;9;7;3
0469803MOK;7;7;4;10;8;11;16;11;6;8;5;4
0469904OCH;4;10;5;10;14;16;17;14;12;8;8;5
0470001MOK;1;2;2;3;3;4;4;4;3;2;1;2
0470103ZOL;5;5;3;7;9;10;13;12;7;9;6;3
0470202PRA;2;4;3;5;5;7;8;7;4;4;3;2
0470307WIL;15;12;11;22;15;28;31;22;20;22;14;10
0470404REM;8;7;6;14;8;18;17;14;9;13;5;7
0470503TAR;5;4;6;9;9;9;13;11;6;9;4;6
0470603WIL;4;4;7;8;7;10;14;10;7;6;7;5
0470703BIA;4;7;6;9;7;10;13;11;8;6;7;5
0470802REM;3;2;4;5;4;6;9;6;4;5;3;4
0470904TAR;9;9;4;11;9;13;19;12;12;14;5;5
0471005PRA;9;12;12;10;17;19;25;15;16;17;5;9
0471104MOK;4;6;5;10;10;13;21;13;9;8;4;8
0471205BIE;6;10;11;13;14;19;24;19;14;15;6;6
0471302URU;2;3;2;5;6;6;8;7;6;4;4;4
0471402ZOL;3;4;2;5;5;6;10;6;5;5;4;4
0471503REM;4;3;4;6;7;11;13;13;7;10;7;7
0471603MOK;5;7;5;8;10;9;12;10;9;10;4;6
0471704WLO;7;6;5;10;11;17;19;16;11;8;7;7
0471805OCH;11;7;11;15;17;17;20;20;13;15;11;6
0471904URU;10;8;9;9;11;18;19;17;13;9;4;5
0472003URY;7;4;4;10;7;10;16;10;10;8;7;5
0472104BEM;9;8;7;13;14;18;17;14;13;8;10;4
0472201URU;1;1;1;2;2;4;4;3;3;3;1;2
0472302WAW;2;4;4;4;6;7;10;7;6;6;4;3
0472402URY;2;3;2;6;4;8;8;7;4;5;3;4
0472504REM;8;5;8;9;12;18;17;16;14;13;10;8
0472606REM;6;9;11;20;19;24;25;20;20;15;13;7
0472705WAW;11;7;8;15;17;20;21;21;16;15;9;8
0472802WES;3;3;2;5;4;6;8;7;5;5;3;2
0472903WLO;4;5;5;8;10;13;15;12;6;7;7;7
0473001SRO;2;1;1;2;2;4;4;4;2;3;2;2
0473104TAR;7;10;10;8;14;12;19;16;9;13;10;5
0473203MOK;4;5;7;9;7;11;16;13;10;8;4;3
0473303SRO;5;5;6;6;8;12;15;10;6;7;7;7
0473402WOL;2;3;4;6;5;7;9;7;4;6;4;2
0473503WES;4;4;6;9;10;13;13;9;8;9;7;3
0473603TAR;7;6;6;7;7;13;12;12;8;9;7;5
0473702BEM;3;3;2;5;4;7;8;7;6;5;3;2
0473802URU;2;3;3;5;5;6;10;7;4;5;3;4
0473903WAW;4;7;6;8;6;12;14;9;9;9;3;4
0474003URU;4;5;6;10;6;10;13;9;9;9;7;6
0474103SRO;6;6;6;8;9;10;13;11;9;6;4;5
0474204BIA;10;9;8;9;14;18;21;17;11;12;4;7
0474302WIL;2;4;2;5;5;6;9;8;6;4;2;4
0474404REM;8;7;4;10;8;14;19;18;10;8;7;8
0474503URU;4;4;4;9;7;11;12;12;9;6;4;7
0474604BEM;6;5;5;9;13;15;19;17;14;14;9;9
0474704TAR;7;10;9;10;8;13;22;12;8;9;4;4
0474806TAR;14;14;8;13;18;22;25;18;14;13;11;9
0474903BIA;4;6;6;8;9;13;13;10;8;10;5;7
0475004WOL;5;7;9;8;11;16;18;18;14;9;9;4
0475102WOL;3;2;3;6;5;6;8;6;6;4;2;3
0475201WLO;2;1;2;2;3;3;4;4;3;2;1;1
0475303MOK;4;5;6;6;7;12;14;11;10;6;6;3
0475403WES;3;6;7;7;7;9;14;13;7;9;6;6
0475507WLO;15;7;11;16;20;28;30;27;20;15;12;13
0475602MOK;4;4;3;6;5;6;8;7;5;6;2;3
0475701BEM;1;1;1;3;3;4;4;3;2;2;2;2
0475802SRO;3;4;4;6;5;6;10;8;4;5;4;3
0475903URU;3;3;6;9;9;12;12;13;8;8;3;6
0476007BEM;15;10;8;15;14;24;29;29;21;21;11;7
0476103PRA;5;3;7;8;10;11;13;11;8;10;5;6
0476205SRO;8;6;6;13;13;22;25;22;13;17;12;8
0476304WIL;7;10;10;11;14;16;21;12;12;9;5;5
0476401REM;2;1;1;3;2;3;5;4;3;2;2;1
0476504OCH;6;6;5;10;11;14;21;17;13;11;5;7
0476602URU;2;3;2;4;6;8;9;8;5;6;3;4
0476702URU;4;3;3;4;4;7;10;7;5;6;3;2
0476803WLO;4;7;6;10;10;13;13;10;6;7;7;5
0476903TAR;6;6;7;9;8;13;16;10;6;9;3;6
0477002SRO;2;3;3;6;6;6;8;7;5;4;2;2
0477101BIE;1;2;2;2;3;4;5;3;3;3;1;1
0477204MOK;10;10;6;14;9;16;21;12;11;10;7;5
0477305URU;6;5;7;15;13;16;23;16;10;11;6;9
0477404WOL;6;9;10;12;13;15;22;14;13;13;6;6
0477504WLO;10;7;4;11;9;16;16;13;9;8;9;9
0477604WIL;4;5;5;10;9;15;21;17;13;11;5;4
0477705ZOL;5;10;8;11;10;17;25;20;10;17;10;6
0477802WOL;2;4;3;5;5;7;8;6;5;5;2;4
0477904ZOL;9;8;9;14;13;17;20;14;9;11;9;7
0478004OCH;6;10;6;11;11;15;18;16;13;10;6;5
0478103WES;4;3;6;10;10;12;13;9;7;6;3;3
0478204BEM;6;5;8;14;13;12;16;14;9;8;8;9
0478303PRA;3;7;6;7;9;13;16;11;8;8;6;4
